Chromosome,Start,End,Width,Strand,Type,Bridge
chr1,1,100000,100000,*,telomere,no
chr1,100001,110000,10000,*,short_arm,no
chr1,110001,3000000,2890000,*,centromere,no
chr1,3002130,3003118,989,*,other,yes
chr1,22424868,22424967,100,*,other,yes
chr1,22433269,22466510,33242,*,contig,no
chr1,25909751,25909751,1,*,other,yes
chr1,75055557,75121556,66000,*,contig,no
chr1,78606966,78607065,100,*,other,yes
chr1,78608150,78609094,945,*,other,yes
chr1,78610151,78610785,635,*,other,yes
chr1,78613880,78614162,283,*,other,yes
chr1,85347104,85447103,100000,*,contig,no
chr1,143399971,143449970,50000,*,other,yes
chr1,156118744,156168743,50000,*,contig,no
chr1,167552381,167552390,10,*,other,yes
chr1,167646223,167646232,10,*,other,yes
chr1,167685493,167685502,10,*,other,yes
chr1,167817560,167817569,10,*,other,yes
chr1,171228616,171228616,1,*,other,yes
chr1,171228619,171228619,1,*,other,yes
chr1,171283150,171283150,1,*,other,yes
chr1,171424159,171424159,1,*,other,yes
chr1,171424166,171424166,1,*,other,yes
chr1,171424216,171424216,1,*,other,yes
chr1,182976045,182976275,231,*,other,yes
chr1,182977064,182978521,1458,*,other,yes
chr1,182982934,182983033,100,*,other,yes
chr1,182991680,183038090,46411,*,contig,no
chr1,183041402,183041709,308,*,other,yes
chr1,183057168,183057267,100,*,other,yes
chr1,183063159,183063258,100,*,other,yes
chr1,183296267,183296366,100,*,other,yes
chr1,183299595,183299694,100,*,other,yes
chr1,183320400,183320499,100,*,other,yes
chr1,183334907,183335006,100,*,other,yes
chr1,183341395,183341842,448,*,other,yes
chr1,183344572,183344671,100,*,other,yes
chr1,183355802,183356345,544,*,other,yes
chr1,183398977,183399076,100,*,other,yes
chr1,183406639,183407858,1220,*,other,yes
chr1,183413823,183413922,100,*,other,yes
chr1,183453932,183503931,50000,*,contig,no
chr1,191957244,191957343,100,*,other,yes
chr1,191962096,191962203,108,*,other,yes
chr1,192001777,192051776,50000,*,contig,no
chr1,192054040,192054139,100,*,other,yes
chr1,192059603,192059702,100,*,other,yes
chr1,192152617,192152948,332,*,other,yes
chr1,192156657,192163813,7157,*,other,yes
chr1,192184091,192185011,921,*,other,yes
chr1,195371972,195471971,100000,*,telomere,no
chr2,1,100000,100000,*,telomere,no
chr2,100001,110000,10000,*,short_arm,no
chr2,110001,3000000,2890000,*,centromere,no
chr2,3000001,3050000,50000,*,clone,no
chr2,22425615,22541732,116118,*,contig,no
chr2,22544767,22544866,100,*,other,yes
chr2,22551615,22551714,100,*,other,yes
chr2,59048706,59048805,100,*,other,yes
chr2,59056461,59120641,64181,*,contig,no
chr2,59122703,59122833,131,*,other,yes
chr2,113893275,113893374,100,*,other,yes
chr2,113895619,113897283,1665,*,other,yes
chr2,113901506,113901605,100,*,other,yes
chr2,113904895,113905001,107,*,other,yes
chr2,113906377,113906476,100,*,other,yes
chr2,113926965,113927085,121,*,other,yes
chr2,113941378,113941849,472,*,other,yes
chr2,172624657,172626416,1760,*,other,yes
chr2,172628929,172629028,100,*,other,yes
chr2,172655564,172655831,268,*,other,yes
chr2,172659370,172659469,100,*,other,yes
chr2,172664118,172665067,950,*,other,yes
chr2,175499302,175599301,100000,*,contig,no
chr2,175993395,176093394,100000,*,contig,no
chr2,176319937,176419936,100000,*,contig,no
chr2,176548873,176598872,50000,*,other,yes
chr2,177614088,177714087,100000,*,contig,no
chr2,182013225,182113224,100000,*,telomere,no
chr3,1,100000,100000,*,telomere,no
chr3,100001,110000,10000,*,short_arm,no
chr3,110001,3000000,2890000,*,centromere,no
chr3,3004645,3005033,389,*,other,yes
chr3,3008841,3009211,371,*,other,yes
chr3,15610691,15760690,150000,*,contig,no
chr3,20075974,20075974,1,*,other,yes
chr3,20075979,20075979,1,*,other,yes
chr3,40550618,40650617,100000,*,contig,no
chr3,50763726,50813725,50000,*,contig,no
chr3,52735161,52735161,1,*,other,yes
chr3,87324553,87324553,1,*,other,yes
chr3,87324565,87324565,1,*,other,yes
chr3,94837933,94837934,2,*,other,yes
chr3,94913122,94913122,1,*,other,yes
chr3,94913134,94913134,1,*,other,yes
chr3,94913136,94913136,1,*,other,yes
chr3,95723843,95723843,1,*,other,yes
chr3,113377728,113527727,150000,*,other,yes
chr3,131372222,131372321,100,*,other,yes
chr3,131373519,131463472,89954,*,other,yes
chr3,159939681,160039680,100000,*,telomere,no
chr4,1,100000,100000,*,telomere,no
chr4,100001,110000,10000,*,short_arm,no
chr4,110001,3000000,2890000,*,centromere,no
chr4,3000001,3050000,50000,*,contig,no
chr4,34250886,34252071,1186,*,other,yes
