Chromosome,Start,End,Width,Strand,Type,Bridge
chr1,1,100000,100000,*,telomere,no
chr1,100001,110000,10000,*,short_arm,no
chr1,110001,3000000,2890000,*,centromere,no
chr1,3000001,3050000,50000,*,contig,no
chr1,85324825,85374824,50000,*,contig,no
chr1,195054280,195154279,100000,*,telomere,no
chr2,1,100000,100000,*,telomere,no
chr2,100001,110000,10000,*,short_arm,no
chr2,110001,3000000,2890000,*,centromere,no
chr2,3000001,3050000,50000,*,contig,no
chr2,22432600,22433599,1000,*,scaffold,yes
chr2,175341095,175391094,50000,*,contig,no
chr2,175785188,175835187,50000,*,contig,no
chr2,176061730,176111729,50000,*,contig,no
chr2,176240666,176290665,50000,*,scaffold,yes
chr2,177305881,177355880,50000,*,contig,no
chr2,181655018,181755017,100000,*,telomere,no
chr3,1,100000,100000,*,telomere,no
chr3,100001,110000,10000,*,short_arm,no
chr3,110001,3000000,2890000,*,centromere,no
chr3,3002420,3004949,2530,*,scaffold,yes
chr3,3008215,3008314,100,*,scaffold,yes
chr3,15709606,15788605,79000,*,scaffold,yes
chr3,113285044,113310543,25500,*,scaffold,yes
chr3,159645317,159745316,100000,*,telomere,no
chr4,1,100000,100000,*,telomere,no
chr4,100001,110000,10000,*,short_arm,no
chr4,110001,3000000,2890000,*,centromere,no
chr4,3000001,3050000,50000,*,contig,no
chr4,34250886,34252071,1186,*,scaffold,yes
chr4,34256715,34256814,100,*,scaffold,yes
chr4,34265095,34265194,100,*,scaffold,yes
chr4,34299674,34300211,538,*,scaffold,yes
chr4,34311805,34311904,100,*,scaffold,yes
chr4,42386164,42436163,50000,*,scaffold,yes
chr4,60805611,61105610,300000,*,scaffold,yes
chr4,89230454,89230553,100,*,scaffold,yes
chr4,89240710,89240809,100,*,scaffold,yes
chr4,89243973,89244072,100,*,scaffold,yes
chr4,89253605,89253704,100,*,scaffold,yes
chr4,145626546,145986545,360000,*,scaffold,yes
chr4,146395019,146411018,16000,*,scaffold,yes
chr4,146742870,146792869,50000,*,scaffold,yes
chr4,146836791,146886790,50000,*,scaffold,yes
chr4,146926153,146976152,50000,*,scaffold,yes
chr4,156318982,156319081,100,*,scaffold,yes
chr4,156321063,156321162,100,*,scaffold,yes
chr4,156338533,156338732,200,*,scaffold,yes
chr4,156342437,156343514,1078,*,scaffold,yes
chr4,156344636,156345807,1172,*,scaffold,yes
chr4,156347646,156366853,19208,*,scaffold,yes
chr4,156369771,156369886,116,*,scaffold,yes
chr4,156398670,156398769,100,*,scaffold,yes
chr4,156593167,156593266,100,*,scaffold,yes
chr4,156608307,156658306,50000,*,scaffold,yes
chr4,156660565,156660664,100,*,scaffold,yes
chr4,156667455,156667554,100,*,scaffold,yes
chr4,156672217,156672316,100,*,scaffold,yes
chr4,156710687,156760686,50000,*,contig,no
chr4,156760687,156860686,100000,*,telomere,no
chr5,1,100000,100000,*,telomere,no
chr5,100001,110000,10000,*,short_arm,no
chr5,110001,3000000,2890000,*,centromere,no
chr5,3000001,3050000,50000,*,contig,no
chr5,15112681,15634680,522000,*,scaffold,yes
chr5,36788129,36818128,30000,*,scaffold,yes
chr5,94236195,94286194,50000,*,scaffold,yes
chr5,151658150,151758149,100000,*,telomere,no
chr6,1,100000,100000,*,telomere,no
chr6,100001,110000,10000,*,short_arm,no
chr6,110001,3000000,2890000,*,centromere,no
chr6,3000001,3050000,50000,*,contig,no
chr6,47663974,47713973,50000,*,contig,no
chr6,139653473,139658472,5000,*,scaffold,yes
chr6,149488045,149588044,100000,*,telomere,no
chr7,1,100000,100000,*,telomere,no
chr7,100001,110000,10000,*,short_arm,no
chr7,110001,3000000,2890000,*,centromere,no
chr7,3000001,3050000,50000,*,contig,no
chr7,21353926,21369425,15500,*,scaffold,yes
chr7,38329760,38379759,50000,*,scaffold,yes
chr7,38700196,38750195,50000,*,contig,no
chr7,59457068,59507067,50000,*,scaffold,yes
chr7,105623082,105628081,5000,*,scaffold,yes
chr7,144895197,144995196,100000,*,telomere,no
chr8,1,100000,100000,*,telomere,no
chr8,100001,110000,10000,*,short_arm,no
chr8,110001,3000000,2890000,*,centromere,no
chr8,3000001,3050000,50000,*,contig,no
chr8,19853145,19998144,145000,*,scaffold,yes
chr8,20183730,20478729,295000,*,scaffold,yes
chr8,20733152,21033151,300000,*,scaffold,yes
chr8,21252195,21302194,50000,*,contig,no
chr8,39603488,39606787,3300,*,scaffold,yes
chr8,55576748,55798747,222000,*,scaffold,yes
chr8,72281003,72566002,285000,*,scaffold,yes
chr8,130027695,130127694,100000,*,telomere,no
chr9,1,100000,100000,*,telomere,no
